Salitang-ugat,Pangnagdaan,Pangkasalukuyan,Panghinaharap,Pawatas,Katatapos
utos,nagutos  ,naguutos  ,maguutos ,magutos ,kauutos 
utusan,inutusan  ,inuutusan  ,uutusan ,utusan , 
wakas,nagwakas ,nagwawakas ,magwawakas ,magwakas ,kawawakas 
wakasan,winakasan ,winawakasan ,wawakasan ,wakasan , 
wala,nawala  ,nawawala  ,mawawala ,mawala ,kawawala 
walis,nagwalis  ,nagwawalis  ,magwawalis ,magwalis ,kawawalis 
walisin,winalis ,winawalis ,wawalisin ,walisin , 
wasak,nagwasak ,nagwawasak ,magwawasak ,magwasak ,kawawasak 
wasakin,winasak ,winawasak ,wawasakin ,wasakin , 
wasto,nagwasto ,nagwawasto ,magwawasto ,magwasto ,kawawasto 
wumagayway,wumagayway ,wumawagayway ,wawagayway ,wumagayway ,kawawagayway 
yakap,yumakap ,yumayakap ,yayakap ,yumakap ,kayayakap 
yakapin,niyakap  ,niyayakap  ,yayakapin ,yakapin , 
yanigin,niyanig ,niyayanig ,yayanigin ,yanigin , 
yuko,yumuko ,yumuyuko ,yuyuko ,yumuko ,kayuyuko 
